id,标题,评分,上映日期,海报,主演,地区,电影类型,评论人数
1292365,活着,9.3,1994-05-17,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.jpg,"葛优, 巩俐, 姜武, 牛犇, 郭涛, 张璐, 倪大红, 肖聪, 董飞, 刘天池, 董立范, 黄宗洛, 刘燕瑾, 李连义, 杨同顺, 苏岩, 王丽华","中国大陆, 中国香港","剧情, 历史, 家庭",900746
1291828,天堂电影院,9.2,2021-06-11,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg,"菲利普·努瓦雷, 萨瓦特利·卡西欧, 雅克·贝汉, 马克·莱昂纳蒂, 莱奥波多·特里耶斯泰, 安东内拉·阿蒂利, 恩佐·卡拉瓦勒, 艾萨·丹尼埃利, 里奥·故罗塔, 普佩拉·玛奇奥, 阿格妮丝·那诺, 塔诺·希玛罗萨, 尼古拉·迪·平托, 罗伯塔·蕾娜, 尼诺·戴罗佐, 玛丽娜·朱迪切, 比阿特丽斯·帕姆, 布丽吉特·佛西, 朱塞佩·托纳多雷","意大利, 法国","剧情, 爱情",705864
1293350,两杆大烟枪,9.1,1998-08-28,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,"杰森·弗莱明, 德克斯特·弗莱彻, 尼克·莫兰, 杰森·斯坦森, 斯蒂文·麦金托什, 尼古拉斯·罗尔, 维尼·琼斯, 蓝尼·麦克林, P.H.莫里亚蒂, 弗兰克·哈珀, 史蒂夫·斯威尼, 哈吉·利弗, 罗尼·福克斯, 斯蒂芬·马库斯, 瓦斯·布莱克伍德, 斯汀, 杰克·亚伯拉罕, 罗伯·布莱顿, 薇拉·黛, 阿兰·福德, 席德·戈尔德, 丹尼·约翰-儒勒, 维克多·麦奎尔, 安德鲁·蒂曼, 马修·沃恩, 布拉德·雅各布维茨",英国,"剧情, 喜剧, 犯罪",630061
25814705,小森林 夏秋篇,9.0,2014-08-30,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg,"桥本爱, 三浦贵大, 松冈茉优, 温水洋一, 桐岛加恋, 筱川桃音",日本,剧情,446715
1300299,杀人回忆,8.9,2003-05-02,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1633113220.jpg,"宋康昊, 金相庆, 金雷夏, 宋在浩, 边希峰, 高瑞熙, 柳泰浩, 朴努植, 朴海日, 全美善, 徐永嬅, 崔钟律, 刘承睦, 申贤宗, 李在应, 郑仁仙, 吴龙, 朴真宇, 朴泰京, 沈成宝, 朴镇宇, 廉惠兰, 李东勇, 赵德济, 申文成, 孙康国, 李大贤, 李玉珠, 刘仁秀, 千明宰, 郭秀贞, 曹文义, 朴贤英, 申贤胜, 權炳吉, 金周灵, 金荷景, 金熙珍, 崔铉基, 李江山, 孙镇浩, 白奉基, 刘琴, 禹高娜, 申云燮, 金景来, 李勋京, 李多一, 金景来, 崔交植",韩国,"剧情, 动作, 犯罪, 悬疑, 惊悚",768647
1302425,喜剧之王,8.8,1999-02-13,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg,"周星驰, 张柏芝, 莫文蔚, 吴孟达, 林子善, 田启文, 李兆基, 成龙, 李思捷, 郑文辉, 明德丰, 戚务振, 戴龙, 詹小玲, 陈宝骏, 冯勉恒, 叶竞生, 徐志雄, 侯焕玲, 胡立成, 袁富华, 郑祖",中国香港,"喜剧, 剧情, 爱情",1021183
1296339,爱在黎明破晓前,8.8,1995-01-27,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg,"伊桑·霍克, 朱莉·德尔佩, 安德莉亚·埃克特, 汉诺·波西尔, 卡尔·布拉克施魏格尔, 特克斯·鲁比诺威茨, 埃尔尼·曼戈尔德, 多米尼克·卡斯特尔, 海蒙·玛丽亚·巴汀格, 哈拉尔德·魏格莱因, 汉斯·魏因加特纳, 彼得·艾利·休默, 休伯特·法比安·库尔特勒, 约翰·斯洛斯, 克里斯蒂安·安科维奇, 亚当·戈德堡, 保罗·波伊特, 金·克里桑","美国, 奥地利, 瑞士","剧情, 爱情",731815
3726072,东邪西毒：终极版,8.8,2009-03-26,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p792502535.jpg,"张国荣, 林青霞, 梁朝伟, 张学友, 张曼玉, 刘嘉玲, 梁家辉, 杨采妮, 白丽, 廖静妮, 邹兆龙","中国香港, 中国大陆, 中国台湾","剧情, 动作, 爱情",210748
1418200,傲慢与偏见,8.7,2005-09-16,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.jpg,"凯拉·奈特莉, 马修·麦克费登, 唐纳德·萨瑟兰, 布兰达·布莱斯, 凯瑞·穆里根, 裴淳华, 吉娜·马隆, 妲露拉·莱莉, 朱迪·丹奇, 西蒙·伍兹, 克劳迪·布莱克利, 汤姆·霍兰德尔, 鲁伯特·弗兰德, 凯利·蕾莉, 皮普·托伦斯, 西妮德·马修斯, 佩内洛普·威尔顿, 塔姆金·莫钦特, 利亚姆·托马斯, Samantha Bloom, 汤姆·霍兰德, 莫亚布雷迪, 梅格·韦恩·欧文, 彼得·怀特, Roy Holder","法国, 英国, 美国","剧情, 爱情",853002
1302827,人工智能,8.7,2001-06-29,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792257137.jpg,"海利·乔·奥斯蒙, 弗兰西丝·奥康纳, 山姆·洛巴兹, 杰克·托马斯, 裘德·洛, 威廉·赫特, 梁振邦, 克拉克·格雷格, 凯文·苏斯曼, 汤姆·加洛普, 尤金·奥斯门特, 艾普尔·格雷斯, 马特·温斯顿, 萨布丽娜·格德维奇, 西奥·格林利, 梅丽尔·斯特里普, 罗宾·威廉姆斯, 本·金斯利, 成宫宽贵, 布莱丹·格里森, 克里斯·洛克, 凯瑟琳·莫里斯, 艾德里安·格尼尔, 恩里克·克兰东尼, 凯蒂·罗曼, 黛维·切斯, 阿什利·斯科特, 葆拉·马尔科姆森, 海利·金, 克莱拉·贝拉, 贾斯蒂娜·马查多, 杰雷米·詹姆斯·基斯纳尔, 丽纳·欧文, 布伦特·塞克斯顿, 罗尼·吉恩·贝尔维斯, 劳伦斯·梅森, 迈克尔·肖姆斯·维尔斯, 迈克尔·曼特尔, 杰克·安杰尔, 克劳迪娅·卡茨, 吉姆·简森, 马特·马洛伊, 克里斯巴勒莫, 提姆·里格比, Lily Knight, 维恩·维尔德森, Miguel Pérez, 黛安·弗莱彻, 基思·坎贝尔, Mark Allan Staubach, Dillon McEwin, Bobby Harwell, Michael Fishman, Kelly Felix, Al Jourgensen, 亚当·亚里克斯-马里, 迈克尔·贝雷瑟, 杰伊男爵, Paul Barker, Andy Morrow, 柯特·杨伯格","美国, 英国","剧情, 科幻",471156
